seqlen,method,rep,ms
1024,vmm_paged,47,0.04966399818658829
1024,contiguous,48,0.049695998430252075
1024,vmm_paged,48,0.04931199923157692
1024,contiguous,49,0.04934399947524071
1024,vmm_paged,49,0.04896000027656555
2048,contiguous,0,0.19059200584888458
2048,vmm_paged,0,0.14211200177669525
2048,contiguous,1,0.13740800321102142
2048,vmm_paged,1,0.14086399972438812
2048,contiguous,2,0.13663999736309052
2048,vmm_paged,2,0.13513599336147308
2048,contiguous,3,0.13580800592899323
2048,vmm_paged,3,0.13593600690364838
2048,contiguous,4,0.13545599579811096
2048,vmm_paged,4,0.13756799697875977
2048,contiguous,5,0.13529600203037262
2048,vmm_paged,5,0.13619199395179749
2048,contiguous,6,0.1345600038766861
2048,vmm_paged,6,0.1353279948234558
2048,contiguous,7,0.13657599687576294
2048,vmm_paged,7,0.13715200126171112
2048,contiguous,8,0.13478399813175201
2048,vmm_paged,8,0.13568000495433807
2048,contiguous,9,0.1345919966697693
2048,vmm_paged,9,0.13488000631332397
2048,contiguous,10,0.1353600025177002
2048,vmm_paged,10,0.14521600306034088
2048,contiguous,11,0.1364479959011078
2048,vmm_paged,11,0.13446399569511414
2048,contiguous,12,0.13583999872207642
2048,vmm_paged,12,0.1353919953107834
2048,contiguous,13,0.13497599959373474
2048,vmm_paged,13,0.1353279948234558
2048,contiguous,14,0.1383039951324463
2048,vmm_paged,14,0.13596799969673157
2048,contiguous,15,0.1350719928741455
2048,vmm_paged,15,0.1353919953107834
2048,contiguous,16,0.13488000631332397
2048,vmm_paged,16,0.13551999628543854
2048,contiguous,17,0.13689599931240082
2048,vmm_paged,17,0.13568000495433807
2048,contiguous,18,0.13462400436401367
2048,vmm_paged,18,0.13577599823474884
2048,contiguous,19,0.13478399813175201
2048,vmm_paged,19,0.13478399813175201
2048,contiguous,20,0.13660800457000732
2048,vmm_paged,20,0.1356479972600937
2048,contiguous,21,0.13600000739097595
2048,vmm_paged,21,0.13471999764442444
2048,contiguous,22,0.1353600025177002
2048,vmm_paged,22,0.1353600025177002
2048,contiguous,23,0.14239999651908875
2048,vmm_paged,23,0.1361279934644699
2048,contiguous,24,0.13462400436401367
2048,vmm_paged,24,0.135903999209404
2048,contiguous,25,0.13475200533866882
2048,vmm_paged,25,0.13580800592899323
2048,contiguous,26,0.13500800728797913
2048,vmm_paged,26,0.1391039937734604
2048,contiguous,27,0.1363839954137802
2048,vmm_paged,27,0.1356479972600937
2048,contiguous,28,0.13471999764442444
2048,vmm_paged,28,0.1361279934644699
2048,contiguous,29,0.13478399813175201
2048,vmm_paged,29,0.13887999951839447
2048,contiguous,30,0.13471999764442444
2048,vmm_paged,30,0.13433599472045898
2048,contiguous,31,0.13519999384880066
2048,vmm_paged,31,0.13529600203037262
2048,contiguous,32,0.1348479986190796
2048,vmm_paged,32,0.13715200126171112
2048,contiguous,33,0.13516800105571747
2048,vmm_paged,33,0.1353279948234558
2048,contiguous,34,0.13542400300502777
2048,vmm_paged,34,0.13583999872207642
2048,contiguous,35,0.13513599336147308
2048,vmm_paged,35,0.14182400703430176
2048,contiguous,36,0.1348479986190796
2048,vmm_paged,36,0.13471999764442444
2048,contiguous,37,0.1353600025177002
2048,vmm_paged,37,0.13500800728797913
2048,contiguous,38,0.13651199638843536
2048,vmm_paged,38,0.13513599336147308
2048,contiguous,39,0.13897599279880524
2048,vmm_paged,39,0.13635200262069702
2048,contiguous,40,0.1350719928741455
2048,vmm_paged,40,0.1353600025177002
2048,contiguous,41,0.13542400300502777
2048,vmm_paged,41,0.13622400164604187
2048,contiguous,42,0.13660800457000732
2048,vmm_paged,42,0.1361600011587143
2048,contiguous,43,0.1361279934644699
2048,vmm_paged,43,0.13555200397968292
2048,contiguous,44,0.13407999277114868
2048,vmm_paged,44,0.13523200154304504
2048,contiguous,45,0.1363839954137802
2048,vmm_paged,45,0.13478399813175201
2048,contiguous,46,0.13488000631332397
2048,vmm_paged,46,0.1345600038766861
2048,contiguous,47,0.13494400680065155
2048,vmm_paged,47,0.13504000008106232
2048,contiguous,48,0.1446080058813095
2048,vmm_paged,48,0.13574400544166565
2048,contiguous,49,0.1353279948234558
2048,vmm_paged,49,0.13488000631332397
4096,contiguous,0,0.6891520023345947
4096,vmm_paged,0,0.5451840162277222
4096,contiguous,1,0.5391039848327637
4096,vmm_paged,1,0.539680004119873
4096,contiguous,2,0.5333120226860046
4096,vmm_paged,2,0.5334399938583374
4096,contiguous,3,0.5321919918060303
4096,vmm_paged,3,0.5335360169410706
4096,contiguous,4,0.5469440221786499
4096,vmm_paged,4,0.5384960174560547
4096,contiguous,5,0.535647988319397
4096,vmm_paged,5,0.5323200225830078
4096,contiguous,6,0.5308799743652344
4096,vmm_paged,6,0.531711995601654
4096,contiguous,7,0.5291200280189514
4096,vmm_paged,7,0.5337600111961365
4096,contiguous,8,0.532800018787384
4096,vmm_paged,8,0.5360320210456848
4096,contiguous,9,0.5328959822654724
4096,vmm_paged,9,0.5334720015525818
4096,contiguous,10,0.5339199900627136
4096,vmm_paged,10,0.5327039957046509
4096,contiguous,11,0.5354560017585754
4096,vmm_paged,11,0.5325760245323181
4096,contiguous,12,0.5424320101737976
4096,vmm_paged,12,0.535103976726532
4096,contiguous,13,0.5338559746742249
4096,vmm_paged,13,0.5366399884223938
4096,contiguous,14,0.5320320129394531
4096,vmm_paged,14,0.5349760055541992
4096,contiguous,15,0.5329279899597168
4096,vmm_paged,15,0.53711998462677
4096,contiguous,16,0.5372160077095032
4096,vmm_paged,16,0.5373759865760803
4096,contiguous,17,0.536575973033905
4096,vmm_paged,17,0.5384640097618103
4096,contiguous,18,0.5392320156097412
4096,vmm_paged,18,0.5370240211486816
4096,contiguous,19,0.53711998462677
4096,vmm_paged,19,0.5376960039138794
4096,contiguous,20,0.5480960011482239
4096,vmm_paged,20,0.5394880175590515
4096,contiguous,21,0.5363199710845947
4096,vmm_paged,21,0.5356159806251526
4096,contiguous,22,0.532800018787384
4096,vmm_paged,22,0.5352320075035095
4096,contiguous,23,0.5351999998092651
