batch,seqlen,method,rep,ms,tokens_per_s
1,2048,paged_minimal,63,0.2540479898452759,3936.2641704389594
1,2048,sdpa_contig,64,0.03145600110292435,31790.436321768622
1,2048,paged_minimal,64,0.2543039917945862,3932.3016243006878
1,2048,sdpa_contig,65,0.03136000037193298,31887.754723848604
1,2048,paged_minimal,65,0.2553279995918274,3916.5308998567357
1,2048,sdpa_contig,66,0.031072000041604042,32183.316125806
1,2048,paged_minimal,66,0.25462400913238525,3927.359416762916
1,2048,sdpa_contig,67,0.03388800099492073,29508.969860744633
1,2048,paged_minimal,67,0.255264014005661,3917.512634498582
1,2048,sdpa_contig,68,0.032416000962257385,30848.96255908681
1,2048,paged_minimal,68,0.25971201062202454,3850.4187680998853
1,2048,sdpa_contig,69,0.031647998839616776,31597.574464904428
1,2048,paged_minimal,69,0.306304007768631,3264.730381051225
1,2048,sdpa_contig,70,0.03046399913728237,32825.63118169809
1,2048,paged_minimal,70,0.23881599307060242,4187.324253884307
1,2048,sdpa_contig,71,0.031168000772595406,32084.188116398345
1,2048,paged_minimal,71,0.23209600150585175,4308.56194640125
1,2048,sdpa_contig,72,0.030751999467611313,32518.210760676622
1,2048,paged_minimal,72,0.2322559952735901,4305.593915119531
1,2048,sdpa_contig,73,0.0315839983522892,31661.602462296236
1,2048,paged_minimal,73,0.26396799087524414,3788.338111315237
1,2048,sdpa_contig,74,0.030848000198602676,32417.012239428637
1,2048,paged_minimal,74,0.2547839879989624,3924.893427777229
1,2048,sdpa_contig,75,0.0318400003015995,31407.03487838109
1,2048,paged_minimal,75,0.2571200132369995,3889.234398406216
1,2048,sdpa_contig,76,0.03139200061559677,31855.24912047692
1,2048,paged_minimal,76,0.25411200523376465,3935.2725546361826
1,2048,sdpa_contig,77,0.03270399942994118,30577.299945904466
1,2048,paged_minimal,77,0.25411200523376465,3935.2725546361826
1,2048,sdpa_contig,78,0.03145600110292435,31790.436321768622
1,2048,paged_minimal,78,0.2569600045681,3891.6562197327416
1,2048,sdpa_contig,79,0.030880000442266464,32383.419225320584
1,2048,paged_minimal,79,0.2534080147743225,3946.2050988820133
1,2048,sdpa_contig,80,0.030848000198602676,32417.012239428637
