seqlen,branches,method,layers_per_step,rep,ms,ncu_available,nsys_available
1024,8,vmm_paged,28,7,1.0554879903793335,False,True
1024,8,contiguous,28,8,1.0261119604110718,False,True
1024,8,vmm_paged,28,8,1.0518720149993896,False,True
1024,8,contiguous,28,9,1.0234240293502808,False,True
1024,8,vmm_paged,28,9,1.0209280252456665,False,True
1024,8,contiguous,28,10,1.0243840217590332,False,True
1024,8,vmm_paged,28,10,1.0228480100631714,False,True
1024,8,contiguous,28,11,1.0520639419555664,False,True
1024,8,vmm_paged,28,11,1.0185600519180298,False,True
1024,8,contiguous,28,12,1.0346879959106445,False,True
1024,8,vmm_paged,28,12,1.0468800067901611,False,True
1024,8,contiguous,28,13,1.0179840326309204,False,True
1024,8,vmm_paged,28,13,1.0239039659500122,False,True
1024,8,contiguous,28,14,1.0157760381698608,False,True
1024,8,vmm_paged,28,14,1.0180799961090088,False,True
1024,8,contiguous,28,15,1.0159039497375488,False,True
1024,8,vmm_paged,28,15,1.0144319534301758,False,True
1024,8,contiguous,28,16,1.0323840379714966,False,True
1024,8,vmm_paged,28,16,1.0097600221633911,False,True
1024,8,contiguous,28,17,1.0168319940567017,False,True
1024,8,vmm_paged,28,17,1.1088320016860962,False,True
1024,8,contiguous,28,18,1.0426559448242188,False,True
1024,8,vmm_paged,28,18,1.0219199657440186,False,True
1024,8,contiguous,28,19,1.0391360521316528,False,True
1024,8,vmm_paged,28,19,1.0445120334625244,False,True
1024,8,contiguous,28,20,1.176800012588501,False,True
1024,8,vmm_paged,28,20,1.4027199745178223,False,True
1024,8,contiguous,28,21,1.093824028968811,False,True
1024,8,vmm_paged,28,21,1.0811200141906738,False,True
1024,8,contiguous,28,22,1.1469759941101074,False,True
1024,8,vmm_paged,28,22,1.0692479610443115,False,True
1024,8,contiguous,28,23,1.0174720287322998,False,True
1024,8,vmm_paged,28,23,1.0127040147781372,False,True
1024,8,contiguous,28,24,1.0437120199203491,False,True
1024,8,vmm_paged,28,24,1.0169600248336792,False,True
1024,8,contiguous,28,25,1.0161919593811035,False,True
1024,8,vmm_paged,28,25,1.0143680572509766,False,True
1024,8,contiguous,28,26,1.0168319940567017,False,True
1024,8,vmm_paged,28,26,1.0139199495315552,False,True
1024,8,contiguous,28,27,1.0124160051345825,False,True
1024,8,vmm_paged,28,27,1.0146559476852417,False,True
1024,8,contiguous,28,28,1.0186879634857178,False,True
1024,8,vmm_paged,28,28,1.016319990158081,False,True
1024,8,contiguous,28,29,1.0134400129318237,False,True
1024,8,vmm_paged,28,29,1.0173439979553223,False,True
1024,16,contiguous,28,0,1.0573760271072388,False,True
1024,16,vmm_paged,28,0,1.056447982788086,False,True
1024,16,contiguous,28,1,1.0277440547943115,False,True
1024,16,vmm_paged,28,1,1.0220160484313965,False,True
1024,16,contiguous,28,2,1.0232959985733032,False,True
1024,16,vmm_paged,28,2,1.029919981956482,False,True
1024,16,contiguous,28,3,1.0523200035095215,False,True
1024,16,vmm_paged,28,3,1.0163520574569702,False,True
1024,16,contiguous,28,4,1.0177279710769653,False,True
1024,16,vmm_paged,28,4,1.0191359519958496,False,True
1024,16,contiguous,28,5,1.0160000324249268,False,True
1024,16,vmm_paged,28,5,1.022047996520996,False,True
1024,16,contiguous,28,6,1.020416021347046,False,True
1024,16,vmm_paged,28,6,1.0249279737472534,False,True
1024,16,contiguous,28,7,1.0215040445327759,False,True
1024,16,vmm_paged,28,7,1.0200639963150024,False,True
1024,16,contiguous,28,8,1.0236799716949463,False,True
1024,16,vmm_paged,28,8,1.0195519924163818,False,True
1024,16,contiguous,28,9,1.0648959875106812,False,True
