batch,seqlen,method,rep,ms,tokens_per_s
32,512,sdpa_contig_gqa,61,0.022911999374628067,1396648.0828135698
32,512,flashinfer_paged,61,0.03580800071358681,893655.0313421459
32,512,sdpa_contig_dense,62,0.11827199906110764,270562.7727106105
32,512,sdpa_contig_gqa,62,0.024191999807953835,1322751.3332518735
32,512,flashinfer_paged,62,0.03612799942493439,885739.6066585028
32,512,sdpa_contig_dense,63,0.11897599697113037,268961.8142705274
32,512,sdpa_contig_gqa,63,0.023296000435948372,1373626.347921095
32,512,flashinfer_paged,63,0.03574400022625923,895255.1420501416
32,512,sdpa_contig_dense,64,0.11849600076675415,270051.3080014265
32,512,sdpa_contig_gqa,64,0.022816000506281853,1402524.513057823
32,512,flashinfer_paged,64,0.03788800165057182,844594.557800254
32,512,sdpa_contig_dense,65,0.11823999881744385,270635.9972939975
32,512,sdpa_contig_gqa,65,0.030432000756263733,1051524.6846993302
32,512,flashinfer_paged,65,0.036928001791238785,866551.0844833213
32,512,sdpa_contig_dense,66,0.11823999881744385,270635.9972939975
32,512,sdpa_contig_gqa,66,0.024480000138282776,1307189.5350995997
32,512,flashinfer_paged,66,0.03561599925160408,898472.6154653312
32,512,sdpa_contig_dense,67,0.11878400295972824,269396.545011613
32,512,sdpa_contig_gqa,67,0.023903999477624893,1338688.1149304446
32,512,flashinfer_paged,67,0.035392001271247864,904159.0995306758
32,512,sdpa_contig_dense,68,0.11926399916410446,268312.31741582596
32,512,sdpa_contig_gqa,68,0.023711999878287315,1349527.672244207
32,512,flashinfer_paged,68,0.03548799827694893,901713.2989657931
32,512,sdpa_contig_dense,69,0.11779200285673141,271665.3017516062
32,512,sdpa_contig_gqa,69,0.025631999596953392,1248439.4703175442
32,512,flashinfer_paged,69,0.03606399893760681,887311.4724565679
32,512,sdpa_contig_dense,70,0.11776000261306763,271739.1244049532
32,512,sdpa_contig_gqa,70,0.023871999233961105,1340482.6167418659
32,512,flashinfer_paged,70,0.035711999982595444,896057.3481069523
32,512,sdpa_contig_dense,71,0.1188800036907196,269178.9956808193
32,512,sdpa_contig_gqa,71,0.024000000208616257,1333333.3217435414
32,512,flashinfer_paged,71,0.035679999738931656,896860.9931093614
32,512,sdpa_contig_dense,72,0.11804799735546112,271076.17847715755
32,512,sdpa_contig_gqa,72,0.02364799939095974,1353180.0077867517
32,512,flashinfer_paged,72,0.03545600175857544,902527.0310480068
32,512,sdpa_contig_dense,73,0.11801599711179733,271149.68125622993
32,512,sdpa_contig_gqa,73,0.02300800010561943,1390820.5777600105
32,512,flashinfer_paged,73,0.03638400137424469,879507.4425940404
32,512,sdpa_contig_dense,74,0.11779200285673141,271665.3017516062
32,512,sdpa_contig_gqa,74,0.023264000192284584,1375515.807062823
32,512,flashinfer_paged,74,0.03564799949526787,897666.0809324763
32,512,sdpa_contig_dense,75,0.11801599711179733,271149.68125622993
32,512,sdpa_contig_gqa,75,0.024064000695943832,1329787.1955843917
32,512,flashinfer_paged,75,0.035232000052928925,908265.2120778412
32,512,sdpa_contig_dense,76,0.11801599711179733,271149.68125622993
32,512,sdpa_contig_gqa,76,0.02412799932062626,1326259.984293195
32,512,flashinfer_paged,76,0.03551999852061272,900900.9384228996
32,512,sdpa_contig_dense,77,0.11884800344705582,269251.4730738014
32,512,sdpa_contig_gqa,77,0.023231999948620796,1377410.4713657994
32,512,flashinfer_paged,77,0.03577600046992302,894454.3710776862
32,512,sdpa_contig_dense,78,0.11846400052309036,270124.2559655305
32,512,sdpa_contig_gqa,78,0.023871999233961105,1340482.6167418659
32,512,flashinfer_paged,78,0.03545600175857544,902527.0310480068
32,512,sdpa_contig_dense,79,0.11923199892044067,268384.3287853664
32,512,sdpa_contig_gqa,79,0.022592000663280487,1416430.5533157424
32,512,flashinfer_paged,79,0.035711999982595444,896057.3481069523
32,512,sdpa_contig_dense,80,0.11823999881744385,270635.9972939975
32,512,sdpa_contig_gqa,80,0.0244159996509552,1310616.0082512985
32,512,flashinfer_paged,80,0.036159999668598175,884955.760322897
32,512,sdpa_contig_dense,81,0.11791999638080597,271370.42895303795
32,512,sdpa_contig_gqa,81,0.024064000695943832,1329787.1955843917
32,512,flashinfer_paged,81,0.03999999910593033,800000.0178813938
32,512,sdpa_contig_dense,82,0.11872000247240067,269541.77336240513
32,512,sdpa_contig_gqa,82,0.02284800074994564,1400560.1781186974
32,512,flashinfer_paged,82,0.03680000081658363,869565.1980958503
32,512,sdpa_contig_dense,83,0.11760000139474869,272108.84031017474
32,512,sdpa_contig_gqa,83,0.023423999547958374,1366120.244942931
32,512,flashinfer_paged,83,0.035679999738931656,896860.9931093614
32,512,sdpa_contig_dense,84,0.11852800101041794,269978.3994263717
32,512,sdpa_contig_gqa,84,0.02304000034928322,1388888.8678335254
32,512,flashinfer_paged,84,0.035232000052928925,908265.2120778412
32,512,sdpa_contig_dense,85,0.1188800036907196,269178.9956808193
32,512,sdpa_contig_gqa,85,0.023264000192284584,1375515.807062823
32,512,flashinfer_paged,85,0.03558399900794029,899280.6006109501
32,512,sdpa_contig_dense,86,0.11801599711179733,271149.68125622993
32,512,sdpa_contig_gqa,86,0.02304000034928322,1388888.8678335254
32,512,flashinfer_paged,86,0.03545600175857544,902527.0310480068
32,512,sdpa_contig_dense,87,0.11823999881744385,270635.9972939975
32,512,sdpa_contig_gqa,87,0.02377600036561489,1345894.999491956
32,512,flashinfer_paged,87,0.03526400029659271,907441.0087017812
32,512,sdpa_contig_dense,88,0.11865600198507309,269687.15837927524
32,512,sdpa_contig_gqa,88,0.023455999791622162,1364256.4923380294
32,512,flashinfer_paged,88,0.035360001027584076,904977.3492663938
32,512,sdpa_contig_dense,89,0.11974400281906128,267236.76548840175
32,512,sdpa_contig_gqa,89,0.02348800003528595,1362397.8181167617
32,512,flashinfer_paged,89,0.03763199970126152,850340.1428047757
32,512,sdpa_contig_dense,90,0.11856000125408173,269905.5302084717
32,512,sdpa_contig_gqa,90,0.02364799939095974,1353180.0077867517
32,512,flashinfer_paged,90,0.03545600175857544,902527.0310480068
32,512,sdpa_contig_dense,91,0.11772800236940384,271812.98719051766
32,512,sdpa_contig_gqa,91,0.023231999948620796,1377410.4713657994
32,512,flashinfer_paged,91,0.03577600046992302,894454.3710776862
32,512,sdpa_contig_dense,92,0.118367999792099,270343.33651159646
32,512,sdpa_contig_gqa,92,0.02332800067961216,1371742.0725200363
32,512,flashinfer_paged,92,0.03580800071358681,893655.0313421459
32,512,sdpa_contig_dense,93,0.11807999759912491,271002.71553729393
32,512,sdpa_contig_gqa,93,0.02396799996495247,1335113.4865984826
32,512,flashinfer_paged,93,0.03574400022625923,895255.1420501416
32,512,sdpa_contig_dense,94,0.11827199906110764,270562.7727106105
32,512,sdpa_contig_gqa,94,0.02377600036561489,1345894.999491956
32,512,flashinfer_paged,94,0.035360001027584076,904977.3492663938
32,512,sdpa_contig_dense,95,0.11817599833011627,270782.5654293207
32,512,sdpa_contig_gqa,95,0.023711999878287315,1349527.672244207
32,512,flashinfer_paged,95,0.03551999852061272,900900.9384228996
32,512,sdpa_contig_dense,96,0.1188800036907196,269178.9956808193
32,512,sdpa_contig_gqa,96,0.02332800067961216,1371742.0725200363
32,512,flashinfer_paged,96,0.03526400029659271,907441.0087017812
32,512,sdpa_contig_dense,97,0.11817599833011627,270782.5654293207
32,512,sdpa_contig_gqa,97,0.02319999970495701,1379310.362368787
32,512,flashinfer_paged,97,0.03580800071358681,893655.0313421459
32,512,sdpa_contig_dense,98,0.11788800358772278,271444.07425805775
32,512,sdpa_contig_gqa,98,0.02409599907696247,1328021.2992120476
32,512,flashinfer_paged,98,0.03641600161790848,878734.5831032477
32,512,sdpa_contig_dense,99,0.11817599833011627,270782.5654293207
32,512,sdpa_contig_gqa,99,0.023104000836610794,1385041.5010932882
32,512,flashinfer_paged,99,0.03753599897027016,852514.9423982331
32,2048,sdpa_contig_dense,0,0.4394240081310272,72822.60278882681
32,2048,sdpa_contig_gqa,0,0.08716800063848495,367107.19261205464
32,2048,flashinfer_paged,0,0.09971199929714203,320924.2641363545
32,2048,sdpa_contig_dense,1,0.42153599858283997,75912.85230106245
32,2048,sdpa_contig_gqa,1,0.07817599922418594,409332.79161847796
32,2048,flashinfer_paged,1,0.09507200121879578,336587.00342655234
32,2048,sdpa_contig_dense,2,0.4208959937095642,76028.28365736676
32,2048,sdpa_contig_gqa,2,0.07756800204515457,412541.24324836774
32,2048,flashinfer_paged,2,0.09177599847316742,348675.04066824017
32,2048,sdpa_contig_dense,3,0.42076799273490906,76051.41206679316
32,2048,sdpa_contig_gqa,3,0.07574400305747986,422475.69059317023
32,2048,flashinfer_paged,3,0.09305600076913834,343878.9517657058
32,2048,sdpa_contig_dense,4,0.4189760088920593,76376.68821329612
32,2048,sdpa_contig_gqa,4,0.0753600001335144,424628.449353848
32,2048,flashinfer_paged,4,0.09279999881982803,344827.59059219674
32,2048,sdpa_contig_dense,5,0.4174079895019531,76663.60205079464
32,2048,sdpa_contig_gqa,5,0.07494399696588516,426985.499780143
32,2048,flashinfer_paged,5,0.09225600212812424,346860.9007743335
32,2048,sdpa_contig_dense,6,0.41843199729919434,76475.98703384727
32,2048,sdpa_contig_gqa,6,0.07529599964618683,424989.377262628
32,2048,flashinfer_paged,6,0.09196799993515015,347947.11228431977
32,2048,sdpa_contig_dense,7,0.41839998960494995,76481.83746422689
32,2048,sdpa_contig_gqa,7,0.07545600086450577,424088.2054889379
32,2048,flashinfer_paged,7,0.09279999881982803,344827.59059219674
32,2048,sdpa_contig_dense,8,0.41974401473999023,76236.94174608386
32,2048,sdpa_contig_gqa,8,0.07500799745321274,426621.1748948562
32,2048,flashinfer_paged,8,0.09484799951314926,337381.91806105175
32,2048,sdpa_contig_dense,9,0.41782400012016296,76587.27117350139
32,2048,sdpa_contig_gqa,9,0.07587199658155441,421762.9882140161
32,2048,flashinfer_paged,9,0.09120000153779984,350877.187066021
32,2048,sdpa_contig_dense,10,0.4160960018634796,76905.32919491772
32,2048,sdpa_contig_gqa,10,0.07587199658155441,421762.9882140161
32,2048,flashinfer_paged,10,0.09200000017881393,347826.0862804766
32,2048,sdpa_contig_dense,11,0.4190720021724701,76359.19325106888
32,2048,sdpa_contig_gqa,11,0.07494399696588516,426985.499780143
32,2048,flashinfer_paged,11,0.09123200178146362,350754.11451184127
32,2048,sdpa_contig_dense,12,0.4208639860153198,76034.06578683872
