method,seqlen,repeat,kernel,metric,unit,value
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_sysmem.sum,sector,"40,004"
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,71.89
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,smsp__inst_executed.sum,inst,"156,548,836"
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,9.08
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,gpu__time_duration.sum,ns,"572,192"
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,l1tex__t_sector_hit_rate.pct,%,0
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sector_hit_rate.pct,%,84.43
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_device.sum,sector,"41,434,310"
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_peer.sum,sector,0
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_sysmem.sum,sector,"31,688"
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,71.84
vmm,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,smsp__inst_executed.sum,inst,"156,553,386"
